query,intent
Can you get me the file with the keyword 'project timeline'?,0
I need the document containing the phrase 'financial summary'.,0
Retrieve the file mentioning 'market analysis' in its content.,0
Find the file that has 'technical specifications' in it.,0
Get the document with 'sales report' mentioned in the text.,0
Fetch the file containing 'budget forecast' details.,0
Locate the file where 'meeting notes' are included.,0
I need the file that talks about 'client feedback'.,0
Provide the file mentioning 'employee records' inside.,0
Can you give me the file with the text 'annual performance review'?,0
What are the key points mentioned in the file about 'project timeline'?,1
Can you summarize the details related to 'financial summary' from the file?,1
What does the document say about 'market analysis'?,1
Explain the content of the file mentioning 'technical specifications'.,1
Can you provide insights from the file that contains 'sales report'?,1
What details about 'budget forecast' are mentioned in the file?,1
Summarize the points about 'meeting notes' from the document.,1
Can you answer based on the file content about 'client feedback'?,1
Give me a summary of 'employee records' mentioned in the file.,1
Explain the 'annual performance review' details from the file.,1
"Lexora, please fetch the document containing the budget details for Q3.",0
Can you retrieve the file with the sales analysis for last month?,0
Get me the file that has the 2022 annual report.,0
I need the file with the employee attendance for December.,0
Fetch the project plan document for the new product launch.,0
Retrieve the presentation on market trends from last quarter.,0
Bring the file that includes the customer feedback survey results.,0
Can you get the file containing the detailed profit-loss statement?,0
I need access to the file with the marketing strategies for 2023.,0
Please fetch the report with the supply chain metrics.,0
What were the total sales for Q3 mentioned in the file?,1
Can Lexora tell me the key points from the annual report?,1
What does the file say about the customer satisfaction scores?,1
Can you provide the top 3 highlights from the market trends file?,1
What are the project deadlines mentioned in the document?,1
Tell me the overall profit margin from the profit-loss statement.,1
What strategies does the marketing file suggest for next year?,1
Summarize the key issues from the supply chain metrics report.,1
Can you extract the attendance percentage from the employee report?,1
What is the budget allocation for Q4 as per the document?,1
Can you provide the file containing 'sales report'?,0
I need the document where 'annual growth' is mentioned.,0
Fetch the file with the keyword 'project timeline'.,0
Retrieve the file that includes 'budget details'.,0
Get me the file that talks about 'quarterly revenue'.,0
Can you send me the document with 'marketing strategy'?,0
Locate the file containing 'employee handbook'.,0
Find the file discussing 'company policy'.,0
I need access to the document that has 'contract terms'.,0
Get the file that includes 'client list'.,0
What's the total revenue according to 'financial summary'?,1
Who is responsible for 'product launch' as per the document?,1
Can you tell me the meaning of 'SLA' from the file?,1
What is the conclusion of the 'business analysis' document?,1
Summarize the 'training program' from the file.,1
"According to the file, what does 'sales forecast' predict?",1
What are the action items mentioned in 'team meeting' notes?,1
Explain the procedure described in 'installation guide'.,1
What are the key points under 'strategic objectives'?,1
Can you provide details about 'expense breakdown'?,1
Get me the file containing the keyword 'annual report'.,0
Find the document with the keyword 'project summary'.,0
Retrieve the file mentioning 'financial statement'.,0
Provide the file that talks about 'market analysis'.,0
I need the document discussing 'employee benefits'.,0
Get the file containing the keyword 'product roadmap'.,0
Locate the file with 'investment strategy' mentioned.,0
Retrieve the document with 'quarterly performance'.,0
Fetch the file that includes 'sales forecast'.,0
Give me the file mentioning 'customer feedback'.,0
What is the total revenue mentioned in the file containing 'annual report'?,1
What does the document say about 'employee benefits'?,1
Summarize the content about 'investment strategy' in the file.,1
What is the market size mentioned in the document discussing 'market analysis'?,1
What are the key points in the file containing 'financial statement'?,1
What is the forecast for sales in the document with 'sales forecast'?,1
Can you extract details about 'product roadmap' from the file?,1
What is the feedback trend discussed in the document mentioning 'customer feedback'?,1
Summarize the 'quarterly performance' discussed in the file.,1
What are the highlights of the file with 'project summary'?,1
Can Lexora give me the file containing the 2020 sales report?,0
I need the complete document on Q3 financial analysis from Lexora.,0
Please provide the entire file with the latest marketing strategy.,0
Get me the file on the recent employee survey results.,0
Could Lexora fetch the full document of the annual budget report?,0
I want the full PDF of the project plan for the new product launch.,0
"Lexora, give me the complete file on customer feedback from last year.",0
Retrieve the file on the partnership agreement signed in 2021.,0
I need the whole document regarding the new hiring policies.,0
Please get me the entire file on the company’s sustainability report.,0
What are the key findings in the 2020 sales report according to Lexora?,1
Can Lexora summarize the Q3 financial analysis for me?,1
What does the latest marketing strategy document say about social media?,1
"According to Lexora, what were the results of the recent employee survey?",1
What are the main points from the annual budget report as per Lexora?,1
"Lexora, can you tell me the milestones in the project plan for the new product launch?",1
"What does the customer feedback from last year indicate, according to Lexora?",1
Can Lexora explain the main terms of the partnership agreement signed in 2021?,1
What are the new hiring policies mentioned in the document Lexora has?,1
Can Lexora give insights from the company’s sustainability report?,1
Can you fetch the file containing the project details?,0
I need the report on the latest sales figures.,0
Retrieve the document with the contract agreement.,0
Please get me the file with the meeting notes.,0
Can you find the file that has the marketing plan?,0
I need access to the file containing the annual budget.,0
Fetch the document with the employee handbook.,0
Retrieve the file with the financial statement.,0
Please get the file with the product specifications.,0
Can you provide the file that includes the user manual?,0
What are the main points from the meeting notes?,1
Can you summarize the project details from the file?,1
What does the latest sales report say about revenue?,1
Find the key points in the contract agreement.,1
What strategies are outlined in the marketing plan?,1
Can you tell me the annual budget from the document?,1
Summarize the main sections of the employee handbook.,1
What are the financial highlights in the statement?,1
What are the product specifications mentioned in the file?,1
Explain the key instructions in the user manual.,1
Can you fetch the full document containing the project report?,0
Give me the complete file with the sales data.,0
I need the entire file with the Q4 financials.,0
Please retrieve the file with the meeting notes from last week.,0
Download the full report on customer feedback.,0
Can you provide the full text of the marketing strategy document?,0
Fetch the entire research paper on climate change trends.,0
Retrieve the full document containing the annual review.,0
I need the complete file with the software development guidelines.,0
Please get the entire file on the team roster and assignments.,0
What are the main conclusions in the project report?,1
Can you tell me the total sales figure from the sales data file?,1
What does the Q4 financials document say about net profit?,1
Summarize the key points from the meeting notes of last week.,1
What customer feedback trends are highlighted in the report?,1
Can you explain the main points of the marketing strategy?,1
What are the key findings in the research paper on climate change trends?,1
Summarize the annual review's insights on employee performance.,1
What are the crucial guidelines mentioned in the software development document?,1
Can you list the team members and their roles from the roster file?,1
Can you fetch the document about Q1 revenue report?,0
Get me the file that contains the details about employee contracts.,0
Retrieve the file where marketing strategies are stored.,0
I need the document that includes the term 'supply chain'.,0
Locate and send me the file with product specifications.,0
Fetch the document mentioning 'legal compliance'.,0
Bring me the file that talks about 'budget allocation'.,0
Provide the file containing 'customer feedback forms'.,0
Give me the document that discusses 'team meeting minutes'.,0
I need the file with the keyword 'project deadlines'.,0
What are the main points mentioned in the Q1 revenue report?,1
Can you tell me the details about employee contracts from the file?,1
What are the marketing strategies mentioned in the document?,1
What does the file say about 'supply chain'?,1
Can you summarize the product specifications from the file?,1
What are the key points regarding 'legal compliance' in the document?,1
Can you extract the details about 'budget allocation' from the file?,1
What customer feedback is mentioned in the forms?,1
Summarize the 'team meeting minutes' from the file.,1
What does the document say about 'project deadlines'?,1
